
2025/02/08 (18:55:59) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/08 (18:55:59) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/08 (20:23:22) | ===> btop++ v.1.4.0
2025/02/08 (20:23:22) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/08 (20:23:22) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/18 (00:24:47) | ===> btop++ v.1.4.0
2025/02/18 (00:24:47) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/18 (00:24:47) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/18 (19:50:39) | ===> btop++ v.1.4.0
2025/02/18 (19:50:39) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/18 (19:50:39) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/18 (19:55:17) | ===> btop++ v.1.4.0
2025/02/18 (19:55:17) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/18 (19:55:17) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/18 (20:46:34) | ===> btop++ v.1.4.0
2025/02/18 (20:46:34) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/18 (20:46:35) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/18 (20:51:48) | ===> btop++ v.1.4.0
2025/02/18 (20:51:48) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/18 (20:51:48) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/18 (21:07:40) | ===> btop++ v.1.4.0
2025/02/18 (21:07:40) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/18 (21:07:40) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/18 (21:56:15) | ===> btop++ v.1.4.0
2025/02/18 (21:56:15) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/18 (21:56:15) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/18 (22:24:50) | ===> btop++ v.1.4.0
2025/02/18 (22:24:50) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/18 (22:24:50) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/18 (22:54:36) | ===> btop++ v.1.4.0
2025/02/18 (22:54:36) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/18 (22:54:36) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/19 (00:19:01) | ===> btop++ v.1.4.0
2025/02/19 (00:19:01) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/19 (00:19:01) | WARNING: Intel GPU: Failed to initialize PMU
2025/02/19 (01:27:35) | ERROR: Stall in Runner thread, restarting!

2025/02/19 (01:28:15) | ===> btop++ v.1.4.0
2025/02/19 (01:28:15) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
